Mall Name,LATITUDE,LONGITUDE,Super Malls
Aperia,1.310473668,103.8643132,Y
Great World City,1.293422727,103.8320221,Y
Junction 8,1.350172432,103.8485537,Y
Changi City Point,1.334083638,103.962946,Y
Paya Lebar Square,1.31881487,103.8925808,Y
Tampines Mall,1.352593614,103.944786,Y
White Sands,1.372287616,103.9497339,Y
Causeway Point,1.435900079,103.7857958,Y
Waterway Point,1.406379336,103.9021722,Y
NEX,1.350769353,103.8722961,Y
Beauty World Centre,1.342412642,103.7765394,Y
Bukit Panjang Plaza,1.379882914,103.7643778,Y
Jurong Point,1.339452004,103.706685,Y
The Star Vista,1.306815007,103.7884627,Y
Bugis Junction,1.299112875,103.8554112,
Cathay Cineleisure Orchard,1.301463935,103.8364638,
ION Orchard,1.303992869,103.8319889,
Marina Bay Sands,1.284662036,103.8610059,
Plaza Singapura,1.300820718,103.8450673,
Velocity@Novena Square,1.319789492,103.8440336,
Bedok Mall,1.324750542,103.9291892,
Eastpoint Mall,1.342705924,103.9530246,
Northpoint City,1.428225609,103.83642,
Queensway Shopping Centre,1.287617926,103.8033911,
The Clementi Mall,1.314896196,103.7644231,
Westgate,1.334157676,103.7427665,
100 AM,1.274588218,103.8434707,
Thomson Plaza,1.354362827,103.8303094,
Kallang Wave Mall,1.303075152,103.8731497,
Parkway Parade,1.301069755,103.9052795,
